Location, 2013__White , 2013__Black , 2013__Hispanic , 2013__Total , 2014__White , 2014__Black , 2014__Hispanic , 2014__Total , 2015__White , 2015__Black , 2015__Hispanic , 2015__Total , 2016__White , 2016__Black , 2016__Hispanic , 2016__Total , Footnotes 
United States," 20,599.00 "," 1,926.00 "," 1,958.00 "," 25,052.00 "," 23,574.00 "," 2,298.00 "," 2,107.00 "," 28,647.00 "," 27,056.00 "," 2,741.00 "," 2,507.00 "," 33,091.00 "," 33,450.00 "," 4,374.00 "," 3,440.00 "," 42,249.00 ", 1.00 
Alabama, 150.00 ,    NSD    ,    NSD    , 166.00 , 244.00 ,    NSD    ,    NSD    , 270.00 , 243.00 ,    NSD    ,    NSD    , 282.00 , 282.00 , 53.00 ,    NSD    , 343.00 ,
Alaska, 54.00 ,    NSD    ,    NSD    , 69.00 , 52.00 ,    NSD    ,    NSD    , 76.00 , 56.00 ,    NSD    ,    NSD    , 86.00 , 70.00 ,    NSD    ,    NSD    , 94.00 ,
Arizona, 390.00 ,    NSD    ,    NSD    , 527.00 , 431.00 , 16.00 , 113.00 , 589.00 , 487.00 , 23.00 , 127.00 , 671.00 , 532.00 , 21.00 , 168.00 , 769.00 ,
Arkansas, 156.00 ,    NSD    ,    NSD    , 162.00 , 160.00 ,    NSD    ,    NSD    , 173.00 , 185.00 ,    NSD    ,    NSD    , 203.00 , 159.00 ,    NSD    ,    NSD    , 169.00 ,
California," 1,373.00 ", 127.00 , 383.00 ," 1,948.00 "," 1,421.00 ", 135.00 , 381.00 ," 2,024.00 "," 1,427.00 ", 126.00 , 372.00 ," 2,018.00 "," 1,397.00 ", 137.00 , 372.00 ," 2,012.00 ",
Colorado, 350.00 ,    NSD    ,    NSD    , 433.00 , 398.00 , 19.00 , 86.00 , 517.00 , 383.00 , 18.00 , 84.00 , 495.00 , 408.00 , 11.00 , 105.00 , 536.00 ,
Connecticut, 361.00 , 28.00 , 46.00 , 439.00 , 443.00 , 21.00 , 58.00 , 525.00 , 580.00 , 35.00 , 67.00 , 685.00 , 677.00 , 54.00 , 111.00 , 855.00 ,
Delaware, 93.00 ,    NSD    ,    NSD    , 113.00 , 106.00 ,    NSD    ,    NSD    , 124.00 , 122.00 ,    NSD    ,    NSD    , 133.00 , 135.00 , 17.00 ,    NSD    , 154.00 ,
District of Columbia,    NSD    ,    NSD    ,    NSD    , 60.00 , 10.00 ,    NSD    ,    NSD    , 63.00 , 15.00 ,    NSD    ,    NSD    , 98.00 , 21.00 , 177.00 ,    NSD    , 209.00 ,
Florida," 1,084.00 ", 49.00 , 114.00 ," 1,268.00 "," 1,174.00 ", 48.00 , 144.00 ," 1,399.00 "," 1,529.00 ", 69.00 , 211.00 ," 1,838.00 "," 2,216.00 ", 147.00 , 407.00 ," 2,798.00 ",
Georgia, 475.00 ,    NSD    ,    NSD    , 530.00 , 623.00 , 71.00 , 10.00 , 710.00 , 733.00 , 103.00 , 15.00 , 858.00 , 783.00 , 109.00 , 18.00 , 918.00 ,
Hawaii, 37.00 ,    NSD    ,    NSD    , 69.00 , 45.00 ,    NSD    ,    NSD    , 59.00 , 36.00 ,    NSD    ,    NSD    , 62.00 , 38.00 ,    NSD    ,    NSD    , 77.00 ,
Idaho, 70.00 ,    NSD    ,    NSD    , 77.00 , 74.00 ,    NSD    ,    NSD    , 78.00 , 86.00 ,    NSD    ,    NSD    , 90.00 , 110.00 ,    NSD    ,    NSD    , 119.00 ,
Illinois, 747.00 , 188.00 , 105.00 ," 1,072.00 ", 869.00 , 225.00 , 91.00 ," 1,205.00 "," 1,006.00 ", 219.00 , 110.00 ," 1,381.00 "," 1,230.00 ", 438.00 , 204.00 ," 1,947.00 ",
Indiana, 327.00 ,    NSD    ,    NSD    , 360.00 , 428.00 , 22.00 , 11.00 , 462.00 , 496.00 ,    NSD    ,    NSD    , 535.00 , 706.00 , 69.00 , 15.00 , 794.00 ,
Iowa, 166.00 ,    NSD    ,    NSD    , 179.00 , 147.00 ,    NSD    ,    NSD    , 158.00 , 153.00 ,    NSD    ,    NSD    , 170.00 , 163.00 , 10.00 ,    NSD    , 183.00 ,
Kansas, 138.00 ,    NSD    ,    NSD    , 158.00 , 160.00 ,    NSD    ,    NSD    , 173.00 , 134.00 ,    NSD    ,    NSD    , 150.00 , 133.00 ,    NSD    ,    NSD    , 146.00 ,
Kentucky, 641.00 ,    NSD    ,    NSD    , 665.00 , 699.00 ,    NSD    ,    NSD    , 729.00 , 847.00 ,    NSD    ,    NSD    , 885.00 , 918.00 , 58.00 , 12.00 , 989.00 ,
Louisiana, 220.00 ,    NSD    ,    NSD    , 265.00 , 218.00 ,    NSD    ,    NSD    , 260.00 , 241.00 , 33.00 , 12.00 , 287.00 , 264.00 , 64.00 , 14.00 , 346.00 ,
Maine, 118.00 ,    NSD    ,    NSD    , 125.00 , 165.00 ,    NSD    ,    NSD    , 171.00 , 229.00 ,    NSD    ,    NSD    , 238.00 , 289.00 ,    NSD    ,    NSD    , 301.00 ,
Maryland, 550.00 , 176.00 , 10.00 , 749.00 , 634.00 , 259.00 , 18.00 , 921.00 , 762.00 , 291.00 , 17.00 ," 1,087.00 "," 1,189.00 ", 560.00 , 47.00 ," 1,821.00 ",
Massachusetts, 784.00 , 36.00 , 62.00 , 888.00 , 985.00 , 40.00 , 86.00 ," 1,140.00 "," 1,299.00 ", 65.00 , 122.00 ," 1,550.00 "," 1,643.00 ", 82.00 , 214.00 ," 1,990.00 ",
Michigan, 741.00 , 111.00 , 44.00 , 909.00 , 829.00 , 156.00 , 44.00 ," 1,052.00 "," 1,052.00 ", 181.00 , 49.00 ," 1,309.00 "," 1,376.00 ", 269.00 , 80.00 ," 1,762.00 ",
Minnesota, 237.00 ,    NSD    ,    NSD    , 305.00 , 261.00 ,    NSD    ,    NSD    , 318.00 , 269.00 ,    NSD    ,    NSD    , 338.00 , 310.00 , 43.00 ,    NSD    , 396.00 ,
Mississippi, 90.00 ,    NSD    ,    NSD    , 100.00 , 102.00 ,    NSD    ,    NSD    , 115.00 , 137.00 ,    NSD    ,    NSD    , 150.00 , 157.00 , 19.00 ,    NSD    , 180.00 ,
Missouri, 524.00 ,    NSD    ,    NSD    , 620.00 , 576.00 ,    NSD    ,    NSD    , 696.00 , 570.00 ,    NSD    ,    NSD    , 692.00 , 698.00 , 194.00 , 13.00 , 914.00 ,
Montana, 59.00 ,    NSD    ,    NSD    , 67.00 , 46.00 ,    NSD    ,    NSD    , 53.00 , 41.00 ,    NSD    ,    NSD    , 48.00 , 37.00 ,    NSD    ,    NSD    , 42.00 ,
Nebraska, 37.00 ,    NSD    ,    NSD    , 41.00 , 49.00 ,    NSD    ,    NSD    , 56.00 , 50.00 ,    NSD    ,    NSD    , 55.00 , 37.00 ,    NSD    ,    NSD    , 44.00 ,
Nevada, 325.00 , 26.00 , 35.00 , 398.00 , 319.00 , 23.00 , 24.00 , 375.00 , 346.00 , 24.00 , 37.00 , 419.00 , 339.00 , 31.00 , 27.00 , 408.00 ,
New Hampshire, 152.00 ,    NSD    ,    NSD    , 157.00 , 287.00 ,    NSD    ,    NSD    , 297.00 , 365.00 ,    NSD    ,    NSD    , 380.00 , 416.00 ,    NSD    , 11.00 , 437.00 ,
New Jersey, 513.00 , 86.00 , 67.00 , 675.00 , 559.00 , 83.00 , 77.00 , 728.00 , 638.00 , 102.00 , 113.00 , 862.00 ," 1,017.00 ", 193.00 , 180.00 ," 1,409.00 ",
New Mexico, 142.00 ,    NSD    ,    NSD    , 322.00 , 164.00 ,    NSD    ,    NSD    , 402.00 , 130.00 ,    NSD    ,    NSD    , 351.00 , 120.00 ,    NSD    , 205.00 , 349.00 ,
New York," 1,254.00 ", 146.00 , 238.00 ," 1,681.00 "," 1,345.00 ", 150.00 , 201.00 ," 1,739.00 "," 1,600.00 ", 182.00 , 307.00 ," 2,166.00 "," 2,110.00 ", 338.00 , 473.00 ," 3,009.00 ",
North Carolina, 752.00 ,    NSD    ,    NSD    , 834.00 , 856.00 ,    NSD    ,    NSD    , 967.00 ," 1,032.00 ", 103.00 , 19.00 ," 1,171.00 "," 1,313.00 ", 132.00 , 31.00 ," 1,506.00 ",
North Dakota, 11.00 ,    NSD    ,    NSD    , 11.00 , 26.00 ,    NSD    ,    NSD    , 31.00 , 29.00 ,    NSD    ,    NSD    , 34.00 , 44.00 ,    NSD    ,    NSD    , 54.00 ,
Ohio," 1,469.00 ", 132.00 , 25.00 ," 1,630.00 "," 1,896.00 ", 162.00 , 38.00 ," 2,106.00 "," 2,414.00 ", 223.00 , 56.00 ," 2,698.00 "," 3,217.00 ", 322.00 , 63.00 ," 3,613.00 ",
Oklahoma, 431.00 , 18.00 , 15.00 , 511.00 , 413.00 , 21.00 , 12.00 , 502.00 , 358.00 , 17.00 , 12.00 , 427.00 , 356.00 , 23.00 , 11.00 , 444.00 ,
Oregon, 269.00 ,    NSD    ,    NSD    , 301.00 , 309.00 ,    NSD    ,    NSD    , 340.00 , 306.00 ,    NSD    ,    NSD    , 331.00 , 276.00 ,    NSD    , 20.00 , 312.00 ,
Pennsylvania, 873.00 , 48.00 , 28.00 , 958.00 , 982.00 , 60.00 , 39.00 ," 1,092.00 "," 1,226.00 ", 90.00 , 41.00 ," 1,362.00 "," 1,989.00 ", 152.00 , 60.00 ," 2,235.00 ",
Rhode Island, 167.00 ,    NSD    ,    NSD    , 190.00 , 171.00 , 12.00 , 21.00 , 205.00 , 210.00 , 10.00 , 30.00 , 254.00 , 248.00 ,    NSD    , 22.00 , 279.00 ,
South Carolina, 225.00 ,    NSD    ,    NSD    , 247.00 , 476.00 ,    NSD    ,    NSD    , 515.00 , 511.00 ,    NSD    ,    NSD    , 554.00 , 581.00 , 41.00 ,    NSD    , 628.00 ,
South Dakota, 27.00 ,    NSD    ,    NSD    , 34.00 , 29.00 ,    NSD    ,    NSD    , 33.00 , 19.00 ,    NSD    ,    NSD    , 27.00 , 39.00 ,    NSD    ,    NSD    , 42.00 ,
Tennessee, 707.00 ,    NSD    ,    NSD    , 767.00 , 808.00 ,    NSD    ,    NSD    , 863.00 , 942.00 , 66.00 , 18.00 ," 1,038.00 "," 1,045.00 ", 111.00 , 20.00 ," 1,186.00 ",
Texas, 716.00 , 72.00 , 247.00 ," 1,053.00 ", 804.00 , 89.00 , 243.00 ," 1,151.00 ", 895.00 , 85.00 , 281.00 ," 1,287.00 ", 920.00 , 101.00 , 329.00 ," 1,375.00 ",
Utah, 398.00 ,    NSD    ,    NSD    , 432.00 , 406.00 ,    NSD    ,    NSD    , 455.00 , 403.00 ,    NSD    ,    NSD    , 448.00 , 423.00 ,    NSD    , 30.00 , 466.00 ,
Vermont, 66.00 ,    NSD    ,    NSD    , 70.00 , 62.00 ,    NSD    ,    NSD    , 64.00 , 74.00 ,    NSD    ,    NSD    , 79.00 , 98.00 ,    NSD    ,    NSD    , 101.00 ,
Virginia, 549.00 , 70.00 , 11.00 , 640.00 , 635.00 , 91.00 , 14.00 , 758.00 , 666.00 , 116.00 , 20.00 , 820.00 , 886.00 , 188.00 , 31.00 ," 1,130.00 ",
Washington, 561.00 , 27.00 , 22.00 , 640.00 , 563.00 , 36.00 , 25.00 , 673.00 , 586.00 , 27.00 , 37.00 , 692.00 , 575.00 , 32.00 , 44.00 , 709.00 ,
West Virginia, 466.00 ,    NSD    ,    NSD    , 490.00 , 539.00 ,    NSD    ,    NSD    , 554.00 , 589.00 ,    NSD    ,    NSD    , 629.00 , 694.00 , 34.00 ,    NSD    , 733.00 ,
Wisconsin, 511.00 , 49.00 , 28.00 , 599.00 , 527.00 , 67.00 , 26.00 , 627.00 , 511.00 , 77.00 , 21.00 , 622.00 , 720.00 , 82.00 , 47.00 , 866.00 ,
Wyoming, 43.00 ,    NSD    ,    NSD    , 48.00 , 49.00 ,    NSD    ,    NSD    , 54.00 , 38.00 ,    NSD    ,    NSD    , 46.00 , 46.00 ,    NSD    ,    NSD    , 50.00 ,